Monitor Name,Monitor ID,Event Name,Event ID,Type
Buick USA - Model Overview Envision - CORE - GSMC,SYNTHETIC_TEST-2DDC6D0FA87E1334,Home,SYNTHETIC_TEST_STEP-815852D76EE66082,Load
Buick USA - Model Overview Envision - CORE - GSMC,SYNTHETIC_TEST-2DDC6D0FA87E1334,Overview,SYNTHETIC_TEST_STEP-2DB9726EEA7905DD,Load
Buick USA - BYO Envision - CORE - GSMC,SYNTHETIC_TEST-024B2426D543DF5B,Home,SYNTHETIC_TEST_STEP-833E98D71B2D3706,Load
Buick USA - BYO Envision - CORE - GSMC,SYNTHETIC_TEST-024B2426D543DF5B,BYO: Vehicle Select,SYNTHETIC_TEST_STEP-EB92ACC0701E170A,Load
Buick USA - BYO Envision - CORE - GSMC,SYNTHETIC_TEST-024B2426D543DF5B,BYO: Step 1: Trim,SYNTHETIC_TEST_STEP-B02774A8AAD3DD1D,Load
Buick USA - Inventory Envision - CORE - GSMC,SYNTHETIC_TEST-5F0949073F6D5E1A,Home,SYNTHETIC_TEST_STEP-C192A0562EB34335,Load
Buick USA - Inventory Envision - CORE - GSMC,SYNTHETIC_TEST-5F0949073F6D5E1A,Inventory: Vehicle Select,SYNTHETIC_TEST_STEP-08EB9BF244D52124,Load
Buick USA - Inventory Envision - CORE - GSMC,SYNTHETIC_TEST-5F0949073F6D5E1A,Inventory: Results,SYNTHETIC_TEST_STEP-F5D47DFE188D0E28,Load
Buick USA - Inventory Envision - CORE - GSMC,SYNTHETIC_TEST-5F0949073F6D5E1A,Details and Photos,SYNTHETIC_TEST_STEP-FF22A6C8B7AA42B3,Load
Buick USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-2F40CF164ED289A0,Home,SYNTHETIC_TEST_STEP-F9E1E840CE54B7B0,Load
Buick USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-2F40CF164ED289A0,Protection Plan,SYNTHETIC_TEST_STEP-D43AAA2F976D9712,Load
Buick USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-2F40CF164ED289A0,Click on #step_1_next,SYNTHETIC_TEST_STEP-285B6744403D7C68,Xhr
Buick USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-2F40CF164ED289A0,Checkout,SYNTHETIC_TEST_STEP-297DE7C1AC3B5B78,Xhr
Buick USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6F7D796EB3103113,RAQ: Form Entry,SYNTHETIC_TEST_STEP-2AABB5A99E381004,Load
Buick USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6F7D796EB3103113,Select Year,SYNTHETIC_TEST_STEP-80777F74758289B7,Xhr
Buick USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6F7D796EB3103113,Select Model,SYNTHETIC_TEST_STEP-1C19E73CE595A136,Xhr
Buick USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6F7D796EB3103113,Select Configuration,SYNTHETIC_TEST_STEP-FD4168ADB17145FA,Xhr
Buick USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6F7D796EB3103113,Select Trim,SYNTHETIC_TEST_STEP-6A4639080D6DDE30,Xhr
Buick USA - Tools - CORE - GSMC,SYNTHETIC_TEST-1A1582D13A8C49FC,Home,SYNTHETIC_TEST_STEP-8B5E0174508863CA,Load
Buick USA - Tools - CORE - GSMC,SYNTHETIC_TEST-1A1582D13A8C49FC,Offers: Results,SYNTHETIC_TEST_STEP-7A5295889D2FAE9E,Load
Buick USA - Tools - CORE - GSMC,SYNTHETIC_TEST-1A1582D13A8C49FC,LAD: Results,SYNTHETIC_TEST_STEP-1513B31AC544F66D,Load
Buick USA - Tools - CORE - GSMC,SYNTHETIC_TEST-1A1582D13A8C49FC,RAQ: Form Entry,SYNTHETIC_TEST_STEP-67F58C80FD916A9B,Load
Buick USA Mobile - BYO Envision - CORE - GSMC,SYNTHETIC_TEST-297E8902653A10CF,Home,SYNTHETIC_TEST_STEP-E1B18C01B0F782F7,Load
Buick USA Mobile - BYO Envision - CORE - GSMC,SYNTHETIC_TEST-297E8902653A10CF,BYO: Vehicle Select,SYNTHETIC_TEST_STEP-946FA32A673DD692,Load
Buick USA Mobile - BYO Envision - CORE - GSMC,SYNTHETIC_TEST-297E8902653A10CF,BYO: Step 1: Trim,SYNTHETIC_TEST_STEP-218FB200722856C1,Load
Buick USA Mobile - Model Overview Envision - CORE - GSMC,SYNTHETIC_TEST-2EA43662596669F9,Home,SYNTHETIC_TEST_STEP-67963CEEEF5ED657,Load
Buick USA Mobile - Model Overview Envision - CORE - GSMC,SYNTHETIC_TEST-2EA43662596669F9,Overview,SYNTHETIC_TEST_STEP-F3DFD0152893619C,Load
Buick USA Mobile - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-56A98F3DCC7C9955,Home,SYNTHETIC_TEST_STEP-C9B377F39827EE5C,Load
Buick USA Mobile - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-56A98F3DCC7C9955,Protection Plan,SYNTHETIC_TEST_STEP-41627386735C0F9F,Load
Buick USA Mobile - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-56A98F3DCC7C9955,Click on #step_1_next,SYNTHETIC_TEST_STEP-455C379736792100,Xhr
Buick USA Mobile - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-56A98F3DCC7C9955,Checkout,SYNTHETIC_TEST_STEP-10811C840FA4F09B,Xhr
Buick USA Mobile - Tools Regal - CORE - GSMC,SYNTHETIC_TEST-2B19A3B5F9CCD23A,Home,SYNTHETIC_TEST_STEP-E963A7680707E924,Load
Buick USA Mobile - Tools Regal - CORE - GSMC,SYNTHETIC_TEST-2B19A3B5F9CCD23A,Inventory: Vehicle Select,SYNTHETIC_TEST_STEP-3D455C48DABA5D5B,Load
Buick USA Mobile - Tools Regal - CORE - GSMC,SYNTHETIC_TEST-2B19A3B5F9CCD23A,Inventory: Results,SYNTHETIC_TEST_STEP-CC3F939283028B73,Load
Buick USA Mobile - Tools Regal - CORE - GSMC,SYNTHETIC_TEST-2B19A3B5F9CCD23A,Offers: Results,SYNTHETIC_TEST_STEP-E45FE867D835180D,Load
Buick USA Mobile - Tools Regal - CORE - GSMC,SYNTHETIC_TEST-2B19A3B5F9CCD23A,LAD: Results,SYNTHETIC_TEST_STEP-A9A2E3355A4BCF3F,Load
Buick USA Mobile - Tools Regal - CORE - GSMC,SYNTHETIC_TEST-2B19A3B5F9CCD23A,RAQ: Form Entry,SYNTHETIC_TEST_STEP-CF8627F32D7EC5F6,Load
Cadillac USA - BYO XT5 - CORE - BYOI - GSMC,SYNTHETIC_TEST-0FD52CD0880C8642,BYO: Step 1: Trim,SYNTHETIC_TEST_STEP-28E1388F89461CC7,Load
Cadillac USA - BYO XT5 - CORE - BYOI - GSMC,SYNTHETIC_TEST-0FD52CD0880C8642,BYO: Vehicle Select,SYNTHETIC_TEST_STEP-CFBD83433A782EEA,Load
Cadillac USA - BYO XT5 - CORE - BYOI - GSMC,SYNTHETIC_TEST-0FD52CD0880C8642,Home,SYNTHETIC_TEST_STEP-600A7150931FBA87,Load
Cadillac USA - Inventory XT5 - CORE - GSMC,SYNTHETIC_TEST-2EEE56ED67DC67EA,Details and Photos,SYNTHETIC_TEST_STEP-32E6D3ACF49E8C0B,Load
Cadillac USA - Inventory XT5 - CORE - GSMC,SYNTHETIC_TEST-2EEE56ED67DC67EA,Home,SYNTHETIC_TEST_STEP-7DAF4AA58773E6BA,Load
Cadillac USA - Inventory XT5 - CORE - GSMC,SYNTHETIC_TEST-2EEE56ED67DC67EA,Inventory: Results,SYNTHETIC_TEST_STEP-85D8B82B8F1A0976,Load
Cadillac USA - Inventory XT5 - CORE - GSMC,SYNTHETIC_TEST-2EEE56ED67DC67EA,Inventory: Vehicle Select,SYNTHETIC_TEST_STEP-8411D2826BD3C97D,Load
Cadillac USA - Model Overview XT5 - CORE - GSMC,SYNTHETIC_TEST-7EC024E3199485A5,Home,SYNTHETIC_TEST_STEP-E091CC52835DABE8,Load
Cadillac USA - Model Overview XT5 - CORE - GSMC,SYNTHETIC_TEST-7EC024E3199485A5,Overview,SYNTHETIC_TEST_STEP-6F4A3713A2F44F5C,Load
Cadillac USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-5A305D5B2581F309,Checkout,SYNTHETIC_TEST_STEP-B88A5B4955B5475C,Xhr
Cadillac USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-5A305D5B2581F309,Click on #step_1_next,SYNTHETIC_TEST_STEP-1F3055FD08331152,Xhr
Cadillac USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-5A305D5B2581F309,Home,SYNTHETIC_TEST_STEP-82E900270462742A,Load
Cadillac USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-5A305D5B2581F309,Protection Plan,SYNTHETIC_TEST_STEP-015E61CBE367A859,Load
Cadillac USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6AAAD46145939D6B,RAQ: Form Entry,SYNTHETIC_TEST_STEP-A86FCACDDC625A40,Load
Cadillac USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6AAAD46145939D6B,Select Configuration,SYNTHETIC_TEST_STEP-90052ADE83B47A50,Xhr
Cadillac USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6AAAD46145939D6B,Select Model,SYNTHETIC_TEST_STEP-142F0D0906A2B0BA,Xhr
Cadillac USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6AAAD46145939D6B,Select Trim,SYNTHETIC_TEST_STEP-44DB2D734264570B,Xhr
Cadillac USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-6AAAD46145939D6B,Select Year,SYNTHETIC_TEST_STEP-FEFD6E3EAE5D894C,Xhr
Cadillac USA - Tools - CORE - GSMC,SYNTHETIC_TEST-3F159AC1855E7898,Home,SYNTHETIC_TEST_STEP-CEC82D69D4BBF2DE,Load
Cadillac USA - Tools - CORE - GSMC,SYNTHETIC_TEST-3F159AC1855E7898,LAD: Results,SYNTHETIC_TEST_STEP-DA7F65C92C1FC92F,Xhr
Cadillac USA - Tools - CORE - GSMC,SYNTHETIC_TEST-3F159AC1855E7898,Offers: Results,SYNTHETIC_TEST_STEP-F3EE7E288DC9BFB0,Load
Cadillac USA - Tools - CORE - GSMC,SYNTHETIC_TEST-3F159AC1855E7898,RAQ: Form Entry,SYNTHETIC_TEST_STEP-4E560B77D57BB97C,Load
