Monitor Name,Monitor ID,Event Name,Event ID,Type
GMC USA - BYO Terrain - CORE - GSMC,SYNTHETIC_TEST-50794CDAA5F99D15,Home,SYNTHETIC_TEST_STEP-F4DD8EFDF1DB2697,Load
GMC USA - BYO Terrain - CORE - GSMC,SYNTHETIC_TEST-50794CDAA5F99D15,BYO: Vehicle Select,SYNTHETIC_TEST_STEP-0A10A80E96219C09,Load
GMC USA - BYO Terrain - CORE - GSMC,SYNTHETIC_TEST-50794CDAA5F99D15,BYO: Step 1: Trims,SYNTHETIC_TEST_STEP-05291E5C36A13EF8,Load
GMC USA - Inventory Sierra 1500 - CORE - GSMC,SYNTHETIC_TEST-6EA5B34DD87CE6D2,Home,SYNTHETIC_TEST_STEP-0420A94F3D8F43C6,Load
GMC USA - Inventory Sierra 1500 - CORE - GSMC,SYNTHETIC_TEST-6EA5B34DD87CE6D2,Inventory: Vehicle Select,SYNTHETIC_TEST_STEP-F7812E4512266D17,Load
GMC USA - Inventory Sierra 1500 - CORE - GSMC,SYNTHETIC_TEST-6EA5B34DD87CE6D2,Inventory: Results,SYNTHETIC_TEST_STEP-14C56669FC0949B2,Load
GMC USA - Inventory Sierra 1500 - CORE - GSMC,SYNTHETIC_TEST-6EA5B34DD87CE6D2,Details and Photos,SYNTHETIC_TEST_STEP-A142C3B5201745BD,Load
GMC USA - Model Overview Sierra 1500 - CORE - GSMC,SYNTHETIC_TEST-00118974B3A2A14F,Home,SYNTHETIC_TEST_STEP-50775674328218EC,Load
GMC USA - Model Overview Sierra 1500 - CORE - GSMC,SYNTHETIC_TEST-00118974B3A2A14F,Overview,SYNTHETIC_TEST_STEP-909E8B5F7CF40A78,Load
GMC USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-574057D49A75FF95,Home,SYNTHETIC_TEST_STEP-5363C0BEF022A14F,Load
GMC USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-574057D49A75FF95,Protection Plan,SYNTHETIC_TEST_STEP-5E347C553A3FC878,Load
GMC USA - Protection Plan - CORE - GSMC,SYNTHETIC_TEST-574057D49A75FF95,Checkout,SYNTHETIC_TEST_STEP-32770CE5F87D2FEC,Xhr
GMC USA - Tools - CORE - GSMC,SYNTHETIC_TEST-79D85D217B68BF7B,Home,SYNTHETIC_TEST_STEP-905ADAFBE4CFAF78,Load
GMC USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-241E06BB713B0207,RAQ: Form Entry,SYNTHETIC_TEST_STEP-3FCC9A04105C5576,Load
GMC USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-241E06BB713B0207,Select Year,SYNTHETIC_TEST_STEP-7522E72BD1426960,Xhr
GMC USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-241E06BB713B0207,Select Model,SYNTHETIC_TEST_STEP-85AB11A6B43492DB,Xhr
GMC USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-241E06BB713B0207,Select Configuration,SYNTHETIC_TEST_STEP-1E3D76E7210D4963,Xhr
GMC USA - RAQ - CORE - GSMC,SYNTHETIC_TEST-241E06BB713B0207,Select Trim,SYNTHETIC_TEST_STEP-EFD0531184A9C839,Xhr
GMC USA - Tools - CORE - GSMC,SYNTHETIC_TEST-79D85D217B68BF7B,Home,SYNTHETIC_TEST_STEP-905ADAFBE4CFAF78,Load
GMC USA - Tools - CORE - GSMC,SYNTHETIC_TEST-79D85D217B68BF7B,Offers: Results,SYNTHETIC_TEST_STEP-4932DAE5949E2341,Load
GMC USA - Tools - CORE - GSMC,SYNTHETIC_TEST-79D85D217B68BF7B,LAD: Results,SYNTHETIC_TEST_STEP-6B8A1AEC65E956D5,Load
